Freq.	V(vout)
1.86606598307363e-02	2.62767581249368e-03,6.70144546020723e-02
1.87904549842804e-02	2.66430501764302e-03,6.74791980620938e-02
1.89211529345121e-02	2.70144409372225e-03,6.79471451491542e-02
1.90527599608789e-02	2.73910011748279e-03,6.84183175405196e-02
1.91852823865054e-02	2.77728026332110e-03,6.88927370515738e-02
1.93187265784971e-02	2.81599180460966e-03,6.93704256365154e-02
1.94530989482459e-02	2.85524211504590e-03,6.98514053890544e-02
1.95884059517387e-02	2.89503867001878e-03,7.03356985431083e-02
1.97246540898673e-02	2.93538904799365e-03,7.08233274734962e-02
1.98618499087409e-02	2.97630093191559e-03,7.13143146966337e-02
2.00000000000002e-02	3.01778211063098e-03,7.18086828712248e-02
2.01391110011345e-02	3.05984048032832e-03,7.23064547989542e-02
2.02791895958007e-02	3.10248404599780e-03,7.28076534251775e-02
2.04202425141440e-02	3.14572092291026e-03,7.33123018396095e-02
2.05622765331215e-02	3.18955933811583e-03,7.38204232770123e-02
2.07052984768277e-02	3.23400763196206e-03,7.43320411178796e-02
2.08493152168226e-02	3.27907425963232e-03,7.48471788891213e-02
2.09943336724615e-02	3.32476779270436e-03,7.53658602647441e-02
2.11403608112278e-02	3.37109692072939e-03,7.58881090665313e-02
2.12874036490674e-02	3.41807045283190e-03,7.64139492647191e-02
2.14354692507260e-02	3.46569731933068e-03,7.69434049786716e-02
2.15845647300887e-02	3.51398657338084e-03,7.74765004775518e-02
2.17346972505213e-02	3.56294739263759e-03,7.80132601809908e-02
2.18858740252150e-02	3.61258908094178e-03,7.85537086597534e-02
2.20381023175324e-02	3.66292107002741e-03,7.90978706364005e-02
2.21913894413571e-02	3.71395292125162e-03,7.96457709859482e-02
2.23457427614446e-02	3.76569432734715e-03,8.01974347365237e-02
2.25011696937764e-02	3.81815511419783e-03,8.07528870700168e-02
2.26576777059162e-02	3.87134524263701e-03,8.13121533227273e-02
2.28152743173687e-02	3.92527481026966e-03,8.18752589860091e-02
2.29739670999409e-02	3.97995405331808e-03,8.24422297069097e-02
2.31337636781060e-02	4.03539334849151e-03,8.30130912888040e-02
2.32946717293693e-02	4.09160321488018e-03,8.35878696920249e-02
2.34566989846378e-02	4.14859431587393e-03,8.41665910344878e-02
2.36198532285908e-02	4.20637746110545e-03,8.47492815923102e-02
2.37841423000546e-02	4.26496360841901e-03,8.53359678004259e-02
2.39495740923788e-02	4.32436386586449e-03,8.59266762531933e-02
2.41161565538154e-02	4.38458949371710e-03,8.65214337049982e-02
2.42838976879012e-02	4.44565190652324e-03,8.71202670708494e-02
2.44528055538416e-02	4.50756267517273e-03,8.77232034269691e-02
2.46228882668986e-02	4.57033352899764e-03,8.83302700113757e-02
2.47941539987800e-02	4.63397635789816e-03,8.89414942244601e-02
2.49666109780325e-02	4.69850321449574e-03,8.95569036295542e-02
2.51402674904368e-02	4.76392631631381e-03,9.01765259534928e-02
2.53151318794058e-02	4.83025804798649e-03,9.08003890871669e-02
2.54912125463855e-02	4.89751096349537e-03,9.14285210860686e-02
2.56685179512583e-02	4.96569778843519e-03,9.20609501708292e-02
2.58470566127501e-02	5.03483142230798e-03,9.26977047277470e-02
2.60268371088389e-02	5.10492494084681e-03,9.33388133093064e-02
2.62078680771675e-02	5.17599159836881e-03,9.39843046346886e-02
2.63901582154582e-02	5.24804483015828e-03,9.46342075902714e-02
2.65737162819305e-02	5.32109825487984e-03,9.52885512301201e-02
2.67585510957225e-02	5.39516567702223e-03,9.59473647764672e-02
2.69446715373141e-02	5.47026108937304e-03,9.66106776201824e-02
2.71320865489537e-02	5.54639867552463e-03,9.72785193212303e-02
2.73208051350882e-02	5.62359281241155e-03,9.79509196091181e-02
2.75108363627952e-02	5.70185807288011e-03,9.86279083833308e-02
2.77021893622188e-02	5.78120922828999e-03,9.93095157137542e-02
2.78948733270084e-02	5.86166125114870e-03,9.99957718410859e-02
2.80888975147602e-02	5.94322931777882e-03,1.00686707177233e-01
2.82842712474622e-02	6.02592881101874e-03,1.01382352305696e-01
2.84810039119417e-02	6.10977532295708e-03,1.02082737981940e-01
2.86791049603169e-02	6.19478465770108e-03,1.02787895133754e-01
2.88785839104502e-02	6.28097283417959e-03,1.03497854861587e-01
2.90794503464065e-02	6.36835608898061e-03,1.04212648438879e-01
2.92817139189128e-02	6.45695087922421e-03,1.04932307312375e-01
2.94853843458224e-02	6.54677388547094e-03,1.05656863102416e-01
2.96904714125813e-02	6.63784201466598e-03,1.06386347603220e-01
2.98969849726991e-02	6.73017240311976e-03,1.07120792783144e-01
3.01049349482217e-02	6.82378241952510e-03,1.07860230784932e-01
3.03143313302083e-02	6.91868966801144e-03,1.08604693925940e-01
3.05251841792115e-02	7.01491199123641e-03,1.09354214698343e-01
3.07375036257606e-02	7.11246747351525e-03,1.10108825769328e-01
3.09512998708482e-02	7.21137444398830e-03,1.10868559981266e-01
